PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,ID_Num_1,aspect,elevation,hillshade,slope
0301010020460012_0001,-1214396.395,-343092.8239,663865.303,3727865.62,"fourFri, P2",Apache,1,340,2563.5696,195,14
0301010020660008_0001,-1229710.881,-350950.3585,649862.2943,3717792.449,"fourFri, P2",Apache,2,315,2731.826,208,13
0301010020660039_0001,-1230129.418,-349582.4715,649231.4902,3719068.057,"fourFri, P2",Apache,3,283,2737.475,213,11
0301060061320008_0001,-1227222.726,-313820.6605,646514.5699,3754585.538,"fourFri, P2",Apache,4,64,2786.059,140,14
0301060060450003_0001,-1235613.151,-294091.7355,0,0,"fourFri, P2",Apache,5,47,2811.4932,174,3
0301010010440004_0001,-1195758.358,-324522.6245,679503.4775,3748964.074,"fourFri, P2",Apache,6,207,2440.7324,204,17
0301010020460001_0001,-1213186.778,-342640.8341,664999.6728,3728500.446,"fourFri, P2",Apache,7,328,2512.6968,191,7
0311010020070016_0001,-1222919.716,-334739.8021,0,0,"fourFri, P2",Apache,8,192,2330.0227,184,6
0301010011440021_0001,-1231299.412,-332808.2166,645439.4481,3735335.188,"fourFri, P2",Apache,9,241,2362.6726,183,1
0301010020570028_0001,-1231091.248,-348772.7494,648149.3973,3719712.861,"fourFri, P2",Apache,10,221,2665.6567,199,9
0301060061470022_0001,-1211857.021,-335010.3963,665128.6195,3736188.404,"fourFri, P2",Apache,11,249,2410.826,189,3
0301010011310002_0001,-1209874.016,-331576.212,666561.9023,3739864.301,"fourFri, P2",Apache,12,137,2514.3677,176,2
0301010020660015_0001,-1230264.24,-350329.8115,649216.1697,3718313.027,"fourFri, P2",Apache,13,208,2702.8896,204,16
0301010011310015_0001,-1209731.567,-332150.8278,666792.4977,3739322.56,"fourFri, P2",Apache,14,152,2489.2544,177,2
0301060061620007_0001,-1226524.77,-321591.545,648430.7846,3747071.909,"fourFri, P2",Apache,15,292,2736.9353,209,10
0301010020680006_0001,-1228333.249,-350788.2836,651208.8076,3718165.711,"fourFri, P2",Apache,16,99,2823.082,159,7
0301010020410012_0001,-1210384.234,-340758.6705,0,0,"fourFri, P2",Apache,17,115,2472.0918,164,6
0301060060770012_0001,-1220696.078,-300022.2817,650846.8736,3769120.944,"fourFri, P2",Apache,18,7,2604.9453,176,11
0301060060770006_0001,-1219283.466,-300265.1862,652289.2269,3769102.122,"fourFri, P2",Apache,19,187,2628.6128,184,10
0301010011600028_0001,-1234175.541,-334259.5739,642804.4889,3733466.08,"fourFri, P2",Apache,20,338,2337.6726,192,10
0301010010330004_0001,-1204200.465,-316383.7105,669828.4842,3755637.45,"fourFri, P2",Apache,21,2,2635.3403,179,15
0301010011230006_0001,-1197738.318,-331650.8396,678650.7964,3741668.19,"fourFri, P2",Apache,22,132,2412.847,171,4
0301010011420052_0001,-1233300.396,-333723.0736,643592.1927,3734129.209,"fourFri, P2",Apache,23,145,2345.6265,178,1
0301060061670010_0001,-1226216.929,-323312.1211,649006.886,3745431.504,"fourFri, P2",Apache,24,178,2686.6,180,7
0301010010020061_0001,-1197925.395,-306726.796,0,0,"fourFri, P2",Apache,25,355,2526.418,182,5
0311060060680001_0001,-1218647.99,-298145.0844,652589.8359,3771278.439,"fourFri, P2",Apache,26,328,2437.32,194,8
0301010010310033_0001,-1203940.943,-316535.5964,670110.0861,3755527.524,"fourFri, P2",Apache,27,172,2609.7747,178,5
0301010010160009_0001,-1197589.399,-311047.0249,0,0,"fourFri, P2",Apache,28,98,2682.1824,143,12
0301010010260001_0001,-1203903.196,-315620.3554,670005.5093,3756432.36,"fourFri, P2",Apache,29,149,2638.5952,171,6
0301010010160003_0001,-1197734.375,-310526.5682,0,0,"fourFri, P2",Apache,30,38,2654.0974,148,17
0301010011600026_0001,-1234692.373,-333886.8476,642232.4659,3733750.698,"fourFri, P2",Apache,31,93,2365.332,173,2
0301010010150003_0001,-1198532.58,-310684.2761,0,0,"fourFri, P2",Apache,32,167,2680.7393,178,3
0301010011330027_0001,-1224623.383,-331560.6264,0,0,"fourFri, P2",Apache,33,161,2338.369,176,4
0301010010450040_0001,-1196216.241,-323266.5146,678850.9829,3750125.717,"fourFri, P2",Apache,34,31,2413.1514,155,16
0301010011970007_0001,-1235736.094,-334840.2028,641344.9877,3732655.741,"fourFri, P2",Apache,35,258,2343.755,226,15
0301010010760022_0001,-1197204.288,-326099.0822,678310.4521,3747190.401,"fourFri, P2",Apache,36,209,2512.2573,191,7
0301010010760034_0001,-1211762.209,-334970.1341,665217.1466,3736243.93,"fourFri, P2",Apache,37,250,2418.7573,196,5
0301010010750002_0001,-1197808.87,-325078.0593,677547.6877,3748104.683,"fourFri, P2",Apache,38,205,2552.9978,205,19
0301010011230005_0001,-1197245.723,-331289.7311,679083.3107,3742099.257,"fourFri, P2",Apache,39,169,2413.7656,179,2
0301010010270001_0001,-1202901.682,-314802.8614,670872.9506,3757385.793,"fourFri, P2",Apache,40,240,2657.7566,188,3
0301010020360006_0002,-1216266.751,-342367.1632,661891.9501,3728292.132,"fourFri, P2",Apache,41,64,2501.4348,172,3
0301010011480029_0001,-1207141.463,-334353.7884,669713.4641,3737564.809,"fourFri, P2",Apache,42,177,2420.228,180,2
0301010010020048_0001,-1198000.219,-310700.433,0,0,"fourFri, P2",Apache,43,313,2665.8052,189,4
0301010011240014_0001,-1197109.249,-331954.038,679322.8133,3741468.355,"fourFri, P2",Apache,44,132,2417.8892,170,4
0301010011250021_0001,-1196960.115,-333389.9148,679691.9609,3740089.036,"fourFri, P2",Apache,45,86,2350.4639,163,5
0301010010530047_0001,-1207464.771,-334311.5974,669389.1341,3737552.376,"fourFri, P2",Apache,46,173,2421.065,179,3
0301010010310038_0002,-1202358.708,-316335.5966,671654.2175,3755970.254,"fourFri, P2",Apache,47,286,2719.8296,198,6
0301010010150020_0001,-1196727.745,-312959.6158,0,0,"fourFri, P2",Apache,48,104,2654.6853,154,9
0301010010430019_0001,-1196221.436,-322405.2832,678710.5545,3750968.567,"fourFri, P2",Apache,49,73,2449.1064,143,13
0301010011310001_0001,-1209710.175,-332608.3738,666887.263,3738874.005,"fourFri, P2",Apache,50,202,2474.0562,182,1
0301010020070016_0001,-1223190.568,-334748.5679,0,0,"fourFri, P2",Apache,51,326,2321.4365,193,7
0301010011310011_0001,-1210791.886,-331339.709,665611.0909,3739952.749,"fourFri, P2",Apache,52,213,2490.4897,187,4
0301010010260045_0001,-1203570.486,-315345.0572,670294.2028,3756752.953,"fourFri, P2",Apache,53,172,2656.9873,178,5
0301010011330012_0001,-1224050.994,-331010.687,0,0,"fourFri, P2",Apache,54,144,2337.1785,176,2
0301010010310001_0001,-1202963.942,-315794.6342,670966.6293,3756407.018,"fourFri, P2",Apache,55,258,2666.1958,194,4
0301010010310032_0001,-1203182.979,-316058.8464,670790.1536,3756113.527,"fourFri, P2",Apache,56,273,2687.3994,210,9
0301010011330034_0001,-1224950.602,-332547.8108,0,0,"fourFri, P2",Apache,57,295,2312.1228,196,6
0301010011340019_0001,-1225744.377,-332148.742,0,0,"fourFri, P2",Apache,58,158,2322.6724,179,1
0301010010150005_0001,-1197917.729,-311205.1433,0,0,"fourFri, P2",Apache,59,92,2692.397,148,10
0301010010640065_0001,-1208271.204,-333840.1854,668510.2782,3737891.987,"fourFri, P2",Apache,60,121,2441.954,161,7
0301010011480008_0001,-1206685.16,-334589.5146,670204.4897,3737402.626,"fourFri, P2",Apache,61,236,2441.7188,185,2
0301060060480001_0001,-1229717.748,-295545.3232,0,0,"fourFri, P2",Apache,62,50,2528.2869,176,2
0301010011480015_0002,-1207459.715,-334206.7821,669379.0322,3737659.754,"fourFri, P2",Apache,63,171,2438.831,176,9
0301010010440005_0001,-1195734.74,-324094.3559,679459.6706,3749388.738,"fourFri, P2",Apache,64,167,2415.8792,170,15
